id;transaction_number;transaction_date;description;debit_amount;credit_amount;account_id;reference_id;created_by_user_id
1;TXN-2024-001;2024-01-16;Asset Purchase;125000.50;0.00;1;REF-001;1
2;TXN-2024-002;2024-01-16;Accounts Payable;0.00;89750.25;2;REF-002;2
3;TXN-2024-003;2024-01-16;Equipment Acquisition;67890.75;0.00;3;REF-003;3
4;TXN-2024-004;2024-01-16;Vehicle Purchase;156780.00;0.00;4;REF-004;4
5;TXN-2024-005;2024-01-16;Service Payment;0.00;98456.30;5;REF-005;5
6;TXN-2024-006;2024-01-16;Machinery Investment;234567.80;0.00;6;REF-006;6
7;TXN-2024-007;2024-01-16;Security System;78923.45;0.00;7;REF-007;7
8;TXN-2024-008;2024-01-16;Lab Equipment Payment;0.00;145632.90;8;REF-008;8
9;TXN-2024-009;2024-01-16;Communication Setup;187456.60;0.00;9;REF-009;9
10;TXN-2024-010;2024-01-16;Medical Equipment;112345.70;0.00;10;REF-010;10
