id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;asset_id;asset_number;old_category;new_category;change_reason;changed_by
1;550e8400-e29b-41d4-a716-446655440501;ASSET_CATEGORY_CHANGED;2024-01-16T09:15:00;1;550e8400-e29b-41d4-a716-446655440601;ASSET_001;AssetRegistration;1;AST001;Computer Equipment;IT Infrastructure;Reclassification for better tracking;System Administrator
2;550e8400-e29b-41d4-a716-446655440502;ASSET_CATEGORY_CHANGED;2024-01-16T09:45:00;1;550e8400-e29b-41d4-a716-446655440602;ASSET_002;AssetRegistration;2;AST002;Office Furniture;Workspace Equipment;Category consolidation;Asset Manager
3;550e8400-e29b-41d4-a716-446655440503;ASSET_CATEGORY_CHANGED;2024-01-16T10:15:00;1;550e8400-e29b-41d4-a716-446655440603;ASSET_003;AssetRegistration;3;AST003;Machinery;Production Equipment;Manufacturing alignment;Operations Manager
4;550e8400-e29b-41d4-a716-446655440504;ASSET_CATEGORY_CHANGED;2024-01-16T10:45:00;1;550e8400-e29b-41d4-a716-446655440604;ASSET_004;AssetRegistration;4;AST004;Vehicles;Transportation Assets;Fleet management update;Fleet Coordinator
5;550e8400-e29b-41d4-a716-446655440505;ASSET_CATEGORY_CHANGED;2024-01-16T11:15:00;1;550e8400-e29b-41d4-a716-446655440605;ASSET_005;AssetRegistration;5;AST005;IT Infrastructure;Technology Assets;Broader categorization;IT Director
6;550e8400-e29b-41d4-a716-446655440506;ASSET_CATEGORY_CHANGED;2024-01-16T11:45:00;1;550e8400-e29b-41d4-a716-446655440606;ASSET_006;AssetRegistration;6;AST006;Manufacturing Equipment;Heavy Machinery;Specification refinement;Plant Manager
7;550e8400-e29b-41d4-a716-446655440507;ASSET_CATEGORY_CHANGED;2024-01-16T12:15:00;1;550e8400-e29b-41d4-a716-446655440607;ASSET_007;AssetRegistration;7;AST007;Security Systems;Safety Equipment;Department reorganization;Security Chief
8;550e8400-e29b-41d4-a716-446655440508;ASSET_CATEGORY_CHANGED;2024-01-16T12:45:00;1;550e8400-e29b-41d4-a716-446655440608;ASSET_008;AssetRegistration;8;AST008;Laboratory Equipment;Research Instruments;Academic alignment;Lab Director
9;550e8400-e29b-41d4-a716-446655440509;ASSET_CATEGORY_CHANGED;2024-01-16T13:15:00;1;550e8400-e29b-41d4-a716-446655440609;ASSET_009;AssetRegistration;9;AST009;Communication Equipment;Network Infrastructure;Technical classification;Network Administrator
10;550e8400-e29b-41d4-a716-446655440510;ASSET_CATEGORY_CHANGED;2024-01-16T13:45:00;1;550e8400-e29b-41d4-a716-446655440610;ASSET_010;AssetRegistration;10;AST010;Medical Equipment;Healthcare Technology;Regulatory compliance;Medical Director
