id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;asset_id;asset_number;asset_tag;asset_cost;asset_category;dealer_name;service_outlet
1;550e8400-e29b-41d4-a716-446655440101;ASSET_CREATED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655440201;ASSET_001;AssetRegistration;1;AST001;TAG001;125000.50;Computer Equipment;Tech Solutions Ltd;Main Office
2;550e8400-e29b-41d4-a716-446655440102;ASSET_CREATED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655440202;ASSET_002;AssetRegistration;2;AST002;TAG002;89750.25;Office Furniture;Furniture Plus;Branch Office
3;550e8400-e29b-41d4-a716-446655440103;ASSET_CREATED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655440203;ASSET_003;AssetRegistration;3;AST003;TAG003;67890.75;Machinery;Industrial Supply Co;Factory Floor
4;550e8400-e29b-41d4-a716-446655440104;ASSET_CREATED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655440204;ASSET_004;AssetRegistration;4;AST004;TAG004;156780.00;Vehicles;Auto Dealers Inc;Transport Hub
5;550e8400-e29b-41d4-a716-446655440105;ASSET_CREATED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655440205;ASSET_005;AssetRegistration;5;AST005;TAG005;98456.30;IT Infrastructure;Network Systems;Data Center
6;550e8400-e29b-41d4-a716-446655440106;ASSET_CREATED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655440206;ASSET_006;AssetRegistration;6;AST006;TAG006;234567.80;Manufacturing Equipment;Heavy Machinery Ltd;Production Line
7;550e8400-e29b-41d4-a716-446655440107;ASSET_CREATED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655440207;ASSET_007;AssetRegistration;7;AST007;TAG007;78923.45;Security Systems;SecureTech Solutions;Security Office
8;550e8400-e29b-41d4-a716-446655440108;ASSET_CREATED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655440208;ASSET_008;AssetRegistration;8;AST008;TAG008;145632.90;Laboratory Equipment;Lab Supplies Inc;Research Lab
9;550e8400-e29b-41d4-a716-446655440109;ASSET_CREATED;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655440209;ASSET_009;AssetRegistration;9;AST009;TAG009;187456.60;Communication Equipment;Telecom Solutions;Communication Center
10;550e8400-e29b-41d4-a716-446655440110;ASSET_CREATED;2024-01-16T13:30:00;1;550e8400-e29b-41d4-a716-446655440210;ASSET_010;AssetRegistration;10;AST010;TAG010;112345.70;Medical Equipment;MedTech Suppliers;Medical Wing
