id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;user_id;action_performed;entity_affected;old_values;new_values;ip_address;user_agent
1;550e8400-e29b-41d4-a716-446655441001;AUDIT_TRAIL;2024-01-16T08:00:00;1;550e8400-e29b-41d4-a716-446655441101;USER_001;UserAction;1;LOGIN;User;null;{status:active};192.168.1.100;Mozilla/5.0 Chrome/120.0
2;550e8400-e29b-41d4-a716-446655441002;AUDIT_TRAIL;2024-01-16T08:30:00;1;550e8400-e29b-41d4-a716-446655441102;ASSET_001;AssetAction;2;CREATE;Asset;null;{id:1,name:Computer};192.168.1.101;Mozilla/5.0 Chrome/120.0
3;550e8400-e29b-41d4-a716-446655441003;AUDIT_TRAIL;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655441103;ASSET_002;AssetAction;3;UPDATE;Asset;{status:draft};{status:active};192.168.1.102;Mozilla/5.0 Chrome/120.0
4;550e8400-e29b-41d4-a716-446655441004;AUDIT_TRAIL;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655441104;USER_002;UserAction;4;LOGOUT;User;{status:active};{status:inactive};192.168.1.103;Mozilla/5.0 Chrome/120.0
5;550e8400-e29b-41d4-a716-446655441005;AUDIT_TRAIL;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655441105;PAYMENT_001;PaymentAction;5;PROCESS;Payment;null;{amount:1000,status:paid};192.168.1.104;Mozilla/5.0 Chrome/120.0
6;550e8400-e29b-41d4-a716-446655441006;AUDIT_TRAIL;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655441106;LEASE_001;LeaseAction;6;APPROVE;Lease;{status:pending};{status:approved};192.168.1.105;Mozilla/5.0 Chrome/120.0
7;550e8400-e29b-41d4-a716-446655441007;AUDIT_TRAIL;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655441107;REPORT_001;ReportAction;7;GENERATE;Report;null;{type:financial,status:ready};192.168.1.106;Mozilla/5.0 Chrome/120.0
8;550e8400-e29b-41d4-a716-446655441008;AUDIT_TRAIL;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655441108;ASSET_003;AssetAction;8;DELETE;Asset;{id:3,status:active};null;192.168.1.107;Mozilla/5.0 Chrome/120.0
9;550e8400-e29b-41d4-a716-446655441009;AUDIT_TRAIL;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655441109;USER_003;UserAction;9;PASSWORD_CHANGE;User;{password:old};{password:new};192.168.1.108;Mozilla/5.0 Chrome/120.0
10;550e8400-e29b-41d4-a716-446655441010;AUDIT_TRAIL;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655441110;SYSTEM_001;SystemAction;10;BACKUP;System;null;{backup_id:BK001,status:complete};192.168.1.109;Mozilla/5.0 Chrome/120.0
