id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;entity_type;entity_id;old_state;new_state;change_reason;changed_by_user_id
1;550e8400-e29b-41d4-a716-446655444001;ENTITY_STATE_CHANGED;2024-01-16T08:15:00;1;550e8400-e29b-41d4-a716-446655444101;ENT_001;EntityAggregate;Asset;1;DRAFT;ACTIVE;Initial activation;1
2;550e8400-e29b-41d4-a716-446655444002;ENTITY_STATE_CHANGED;2024-01-16T08:45:00;1;550e8400-e29b-41d4-a716-446655444102;ENT_002;EntityAggregate;Lease;2;PENDING;APPROVED;Management approval;2
3;550e8400-e29b-41d4-a716-446655444003;ENTITY_STATE_CHANGED;2024-01-16T09:15:00;1;550e8400-e29b-41d4-a716-446655444103;ENT_003;EntityAggregate;Payment;3;PENDING;PROCESSED;Payment completed;3
4;550e8400-e29b-41d4-a716-446655444004;ENTITY_STATE_CHANGED;2024-01-16T09:45:00;1;550e8400-e29b-41d4-a716-446655444104;ENT_004;EntityAggregate;User;4;INACTIVE;ACTIVE;User login;4
5;550e8400-e29b-41d4-a716-446655444005;ENTITY_STATE_CHANGED;2024-01-16T10:15:00;1;550e8400-e29b-41d4-a716-446655444105;ENT_005;EntityAggregate;Report;5;GENERATING;COMPLETED;Report generation finished;5
6;550e8400-e29b-41d4-a716-446655444006;ENTITY_STATE_CHANGED;2024-01-16T10:45:00;1;550e8400-e29b-41d4-a716-446655444106;ENT_006;EntityAggregate;Asset;6;ACTIVE;DISPOSED;Asset disposal;6
7;550e8400-e29b-41d4-a716-446655444007;ENTITY_STATE_CHANGED;2024-01-16T11:15:00;1;550e8400-e29b-41d4-a716-446655444107;ENT_007;EntityAggregate;Contract;7;DRAFT;EXECUTED;Contract signing;7
8;550e8400-e29b-41d4-a716-446655444008;ENTITY_STATE_CHANGED;2024-01-16T11:45:00;1;550e8400-e29b-41d4-a716-446655444108;ENT_008;EntityAggregate;Invoice;8;DRAFT;SENT;Invoice dispatch;8
9;550e8400-e29b-41d4-a716-446655444009;ENTITY_STATE_CHANGED;2024-01-16T12:15:00;1;550e8400-e29b-41d4-a716-446655444109;ENT_009;EntityAggregate;Order;9;PENDING;FULFILLED;Order completion;9
10;550e8400-e29b-41d4-a716-446655444010;ENTITY_STATE_CHANGED;2024-01-16T12:45:00;1;550e8400-e29b-41d4-a716-446655444110;ENT_010;EntityAggregate;Workflow;10;RUNNING;COMPLETED;Workflow finished;10
