id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;lease_contract_id;payment_amount;payment_date;payment_method;payment_reference;made_by_user_id
1;550e8400-e29b-41d4-a716-446655447001;LEASE_PAYMENT_MADE;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655447101;LP_001;LeasePaymentAggregate;1;5208.35;2024-01-16;Bank Transfer;PAY-2024-001;1
2;550e8400-e29b-41d4-a716-446655447002;LEASE_PAYMENT_MADE;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655447102;LP_002;LeasePaymentAggregate;2;3739.59;2024-01-16;ACH;PAY-2024-002;2
3;550e8400-e29b-41d4-a716-446655447003;LEASE_PAYMENT_MADE;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655447103;LP_003;LeasePaymentAggregate;3;2829.61;2024-01-16;Wire Transfer;PAY-2024-003;3
4;550e8400-e29b-41d4-a716-446655447004;LEASE_PAYMENT_MADE;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655447104;LP_004;LeasePaymentAggregate;4;6532.50;2024-01-16;Check;PAY-2024-004;4
5;550e8400-e29b-41d4-a716-446655447005;LEASE_PAYMENT_MADE;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655447105;LP_005;LeasePaymentAggregate;5;4102.35;2024-01-16;Electronic Payment;PAY-2024-005;5
6;550e8400-e29b-41d4-a716-446655447006;LEASE_PAYMENT_MADE;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655447106;LP_006;LeasePaymentAggregate;6;9773.66;2024-01-16;Bank Transfer;PAY-2024-006;6
7;550e8400-e29b-41d4-a716-446655447007;LEASE_PAYMENT_MADE;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655447107;LP_007;LeasePaymentAggregate;7;3288.48;2024-01-16;Direct Debit;PAY-2024-007;7
8;550e8400-e29b-41d4-a716-446655447008;LEASE_PAYMENT_MADE;2024-01-16T13:30:00;1;550e8400-e29b-41d4-a716-446655447108;LP_008;LeasePaymentAggregate;8;6068.04;2024-01-16;ACH;PAY-2024-008;8
9;550e8400-e29b-41d4-a716-446655447009;LEASE_PAYMENT_MADE;2024-01-16T14:00:00;1;550e8400-e29b-41d4-a716-446655447109;LP_009;LeasePaymentAggregate;9;7810.69;2024-01-16;Wire Transfer;PAY-2024-009;9
10;550e8400-e29b-41d4-a716-446655447010;LEASE_PAYMENT_MADE;2024-01-16T14:30:00;1;550e8400-e29b-41d4-a716-446655447110;LP_010;LeasePaymentAggregate;10;4681.07;2024-01-16;Bank Transfer;PAY-2024-010;10
