id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;payment_id;payment_amount;payment_method;payment_status;processed_by_user_id;transaction_reference
1;550e8400-e29b-41d4-a716-446655448001;PAYMENT_PROCESSED;2024-01-16T09:15:00;1;550e8400-e29b-41d4-a716-446655448101;PAY_001;PaymentAggregate;1;125000.50;Bank Transfer;COMPLETED;1;TXN-2024-001
2;550e8400-e29b-41d4-a716-446655448002;PAYMENT_PROCESSED;2024-01-16T09:45:00;1;550e8400-e29b-41d4-a716-446655448102;PAY_002;PaymentAggregate;2;89750.25;Credit Card;COMPLETED;2;TXN-2024-002
3;550e8400-e29b-41d4-a716-446655448003;PAYMENT_PROCESSED;2024-01-16T10:15:00;1;550e8400-e29b-41d4-a716-446655448103;PAY_003;PaymentAggregate;3;67890.75;ACH;FAILED;3;TXN-2024-003
4;550e8400-e29b-41d4-a716-446655448004;PAYMENT_PROCESSED;2024-01-16T10:45:00;1;550e8400-e29b-41d4-a716-446655448104;PAY_004;PaymentAggregate;4;156780.00;Wire Transfer;COMPLETED;4;TXN-2024-004
5;550e8400-e29b-41d4-a716-446655448005;PAYMENT_PROCESSED;2024-01-16T11:15:00;1;550e8400-e29b-41d4-a716-446655448105;PAY_005;PaymentAggregate;5;98456.30;Check;PENDING;5;TXN-2024-005
6;550e8400-e29b-41d4-a716-446655448006;PAYMENT_PROCESSED;2024-01-16T11:45:00;1;550e8400-e29b-41d4-a716-446655448106;PAY_006;PaymentAggregate;6;234567.80;Electronic Payment;COMPLETED;6;TXN-2024-006
7;550e8400-e29b-41d4-a716-446655448007;PAYMENT_PROCESSED;2024-01-16T12:15:00;1;550e8400-e29b-41d4-a716-446655448107;PAY_007;PaymentAggregate;7;78923.45;Bank Transfer;COMPLETED;7;TXN-2024-007
8;550e8400-e29b-41d4-a716-446655448008;PAYMENT_PROCESSED;2024-01-16T12:45:00;1;550e8400-e29b-41d4-a716-446655448108;PAY_008;PaymentAggregate;8;145632.90;Direct Debit;COMPLETED;8;TXN-2024-008
9;550e8400-e29b-41d4-a716-446655448009;PAYMENT_PROCESSED;2024-01-16T13:15:00;1;550e8400-e29b-41d4-a716-446655448109;PAY_009;PaymentAggregate;9;187456.60;Credit Card;FAILED;9;TXN-2024-009
10;550e8400-e29b-41d4-a716-446655448010;PAYMENT_PROCESSED;2024-01-16T13:45:00;1;550e8400-e29b-41d4-a716-446655448110;PAY_010;PaymentAggregate;10;112345.70;ACH;COMPLETED;10;TXN-2024-010
