id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;report_id;report_name;report_type;generated_by_user_id;generation_timestamp;report_format
1;550e8400-e29b-41d4-a716-446655454001;REPORT_GENERATED;2024-01-16T08:00:00;1;550e8400-e29b-41d4-a716-446655454101;RPT_001;ReportAggregate;1;Asset Depreciation Report;FINANCIAL;1;2024-01-16T08:00:00;PDF
2;550e8400-e29b-41d4-a716-446655454002;REPORT_GENERATED;2024-01-16T08:30:00;1;550e8400-e29b-41d4-a716-446655454102;RPT_002;ReportAggregate;2;Lease Liability Summary;FINANCIAL;2;2024-01-16T08:30:00;EXCEL
3;550e8400-e29b-41d4-a716-446655454003;REPORT_GENERATED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655454103;RPT_003;ReportAggregate;3;Payment Processing Report;OPERATIONAL;3;2024-01-16T09:00:00;CSV
4;550e8400-e29b-41d4-a716-446655454004;REPORT_GENERATED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655454104;RPT_004;ReportAggregate;4;Compliance Audit Report;COMPLIANCE;4;2024-01-16T09:30:00;PDF
5;550e8400-e29b-41d4-a716-446655454005;REPORT_GENERATED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655454105;RPT_005;ReportAggregate;5;User Activity Report;SECURITY;5;2024-01-16T10:00:00;HTML
6;550e8400-e29b-41d4-a716-446655454006;REPORT_GENERATED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655454106;RPT_006;ReportAggregate;6;Asset Inventory Report;OPERATIONAL;6;2024-01-16T10:30:00;EXCEL
7;550e8400-e29b-41d4-a716-446655454007;REPORT_GENERATED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655454107;RPT_007;ReportAggregate;7;Financial Performance Report;FINANCIAL;7;2024-01-16T11:00:00;PDF
8;550e8400-e29b-41d4-a716-446655454008;REPORT_GENERATED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655454108;RPT_008;ReportAggregate;8;System Health Report;TECHNICAL;8;2024-01-16T11:30:00;JSON
9;550e8400-e29b-41d4-a716-446655454009;REPORT_GENERATED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655454109;RPT_009;ReportAggregate;9;Workflow Status Report;OPERATIONAL;9;2024-01-16T12:00:00;CSV
10;550e8400-e29b-41d4-a716-446655454010;REPORT_GENERATED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655454110;RPT_010;ReportAggregate;10;Risk Assessment Report;RISK;10;2024-01-16T12:30:00;PDF
