id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;settlement_id;settlement_number;settlement_amount;settlement_date;settlement_currency;created_by_user_id
1;550e8400-e29b-41d4-a716-446655449001;SETTLEMENT_CREATED;2024-01-16T08:30:00;1;550e8400-e29b-41d4-a716-446655449101;SET_001;SettlementAggregate;1;SET-2024-001;125000.50;2024-01-16;USD;1
2;550e8400-e29b-41d4-a716-446655449002;SETTLEMENT_CREATED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655449102;SET_002;SettlementAggregate;2;SET-2024-002;89750.25;2024-01-16;EUR;2
3;550e8400-e29b-41d4-a716-446655449003;SETTLEMENT_CREATED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655449103;SET_003;SettlementAggregate;3;SET-2024-003;67890.75;2024-01-16;GBP;3
4;550e8400-e29b-41d4-a716-446655449004;SETTLEMENT_CREATED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655449104;SET_004;SettlementAggregate;4;SET-2024-004;156780.00;2024-01-16;USD;4
5;550e8400-e29b-41d4-a716-446655449005;SETTLEMENT_CREATED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655449105;SET_005;SettlementAggregate;5;SET-2024-005;98456.30;2024-01-16;CAD;5
6;550e8400-e29b-41d4-a716-446655449006;SETTLEMENT_CREATED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655449106;SET_006;SettlementAggregate;6;SET-2024-006;234567.80;2024-01-16;USD;6
7;550e8400-e29b-41d4-a716-446655449007;SETTLEMENT_CREATED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655449107;SET_007;SettlementAggregate;7;SET-2024-007;78923.45;2024-01-16;AUD;7
8;550e8400-e29b-41d4-a716-446655449008;SETTLEMENT_CREATED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655449108;SET_008;SettlementAggregate;8;SET-2024-008;145632.90;2024-01-16;JPY;8
9;550e8400-e29b-41d4-a716-446655449009;SETTLEMENT_CREATED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655449109;SET_009;SettlementAggregate;9;SET-2024-009;187456.60;2024-01-16;CHF;9
10;550e8400-e29b-41d4-a716-446655449010;SETTLEMENT_CREATED;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655449110;SET_010;SettlementAggregate;10;SET-2024-010;112345.70;2024-01-16;USD;10
