id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;workflow_id;step_id;step_name;completed_by_user_id;completion_timestamp;step_result
1;550e8400-e29b-41d4-a716-446655453001;WORKFLOW_STEP_COMPLETED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655453101;WF_001;WorkflowAggregate;1;STEP_001;Asset Registration Approval;1;2024-01-16T09:00:00;APPROVED
2;550e8400-e29b-41d4-a716-446655453002;WORKFLOW_STEP_COMPLETED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655453102;WF_002;WorkflowAggregate;2;STEP_002;Lease Contract Review;2;2024-01-16T09:30:00;APPROVED
3;550e8400-e29b-41d4-a716-446655453003;WORKFLOW_STEP_COMPLETED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655453103;WF_003;WorkflowAggregate;3;STEP_003;Payment Authorization;3;2024-01-16T10:00:00;REJECTED
4;550e8400-e29b-41d4-a716-446655453004;WORKFLOW_STEP_COMPLETED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655453104;WF_004;WorkflowAggregate;4;STEP_004;Invoice Validation;4;2024-01-16T10:30:00;APPROVED
5;550e8400-e29b-41d4-a716-446655453005;WORKFLOW_STEP_COMPLETED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655453105;WF_005;WorkflowAggregate;5;STEP_005;Compliance Check;5;2024-01-16T11:00:00;APPROVED
6;550e8400-e29b-41d4-a716-446655453006;WORKFLOW_STEP_COMPLETED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655453106;WF_006;WorkflowAggregate;6;STEP_006;Asset Disposal Approval;6;2024-01-16T11:30:00;APPROVED
7;550e8400-e29b-41d4-a716-446655453007;WORKFLOW_STEP_COMPLETED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655453107;WF_007;WorkflowAggregate;7;STEP_007;Security Clearance;7;2024-01-16T12:00:00;PENDING
8;550e8400-e29b-41d4-a716-446655453008;WORKFLOW_STEP_COMPLETED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655453108;WF_008;WorkflowAggregate;8;STEP_008;Quality Assurance;8;2024-01-16T12:30:00;APPROVED
9;550e8400-e29b-41d4-a716-446655453009;WORKFLOW_STEP_COMPLETED;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655453109;WF_009;WorkflowAggregate;9;STEP_009;Final Review;9;2024-01-16T13:00:00;APPROVED
10;550e8400-e29b-41d4-a716-446655453010;WORKFLOW_STEP_COMPLETED;2024-01-16T13:30:00;1;550e8400-e29b-41d4-a716-446655453110;WF_010;WorkflowAggregate;10;STEP_010;Document Archive;10;2024-01-16T13:30:00;COMPLETED
